N_rows:	3
N_cols:	3
T:	0.226919
Steps	States	EI
28900000	449	7.19324
29000000	450	7.19948
29100000	450	7.19572
29200000	450	7.19613
29300000	450	7.19514
29400000	451	7.19794
29500000	452	7.20175
29600000	452	7.20131
29700000	452	7.20131
29800000	453	7.20528
29900000	453	7.20056
30000000	453	7.20054
30100000	453	7.20002
30200000	453	7.19812
30300000	453	7.19795
30400000	453	7.19817
30500000	453	7.19423
30600000	453	7.19421
30700000	453	7.19176
30800000	453	7.18348
30900000	453	7.18244
31000000	453	7.18203
31100000	453	7.18214
31200000	453	7.18104
31300000	453	7.17283
31400000	453	7.17048
31500000	453	7.16945
31600000	453	7.16877
31700000	453	7.16833
31800000	453	7.16839
31900000	453	7.16853
32000000	453	7.1659
32100000	453	7.16519
32200000	453	7.16511
32300000	453	7.16446
32400000	453	7.16451
32500000	453	7.16433
32600000	453	7.16638
32700000	453	7.1664
32800000	453	7.16643
32900000	453	7.1666
33000000	453	7.16566
33100000	453	7.16475
33200000	453	7.1653
33300000	454	7.16758
33400000	454	7.16784
33500000	454	7.16778
33600000	454	7.16787
33700000	454	7.16763
33800000	454	7.16761
33900000	455	7.17
34000000	458	7.18506
34100000	459	7.1879
34200000	459	7.1847
34300000	459	7.18468
34400000	459	7.18446
34500000	459	7.18435
34600000	459	7.18095
34700000	459	7.17934
34800000	459	7.1788
34900000	459	7.17812
35000000	459	7.17828
35100000	459	7.17835
35200000	459	7.17939
35300000	459	7.17824
35400000	459	7.17212
35500000	459	7.17116
35600000	461	7.18131
35700000	461	7.17972
35800000	461	7.17969
35900000	461	7.17975
36000000	461	7.17888
36100000	461	7.17806
36200000	461	7.17805
36300000	461	7.17731
36400000	461	7.17482
36500000	461	7.17479
36600000	461	7.17283
36700000	461	7.17252
36800000	461	7.17416
36900000	463	7.17924
37000000	463	7.17837
37100000	463	7.1785
37200000	463	7.17648
37300000	463	7.17496
37400000	464	7.17836
37500000	465	7.18225
37600000	465	7.18339
37700000	465	7.18169
37800000	465	7.18167
37900000	465	7.17844
38000000	465	7.1777
38100000	465	7.17769
38200000	465	7.17539
38300000	465	7.17406
38400000	465	7.17369
38500000	465	7.17289
38600000	465	7.17286
38700000	465	7.17276
38800000	465	7.16902
38900000	466	7.17155
39000000	466	7.17062
39100000	466	7.16956
39200000	466	7.16792
39300000	466	7.16793
39400000	466	7.16407
39500000	466	7.16321
39600000	466	7.16079
39700000	467	7.16001
39800000	467	7.1599
39900000	467	7.15993
40000000	467	7.16021
40100000	467	7.16021
40200000	467	7.16021
40300000	467	7.15947
40400000	467	7.1596
40500000	467	7.15939
40600000	470	7.16913
40700000	471	7.17279
40800000	471	7.17231
40900000	471	7.17228
41000000	471	7.17224
41100000	471	7.17201
41200000	471	7.1713
41300000	471	7.16958
41400000	471	7.16896
41500000	472	7.17033
41600000	472	7.16625
41700000	473	7.16913
41800000	473	7.16927
41900000	473	7.17011
42000000	474	7.16844
42100000	474	7.16823
42200000	475	7.17061
42300000	475	7.17071
42400000	475	7.16957
42500000	475	7.16931
42600000	475	7.16856
42700000	475	7.1666
42800000	475	7.16421
42900000	476	7.16916
43000000	476	7.16857
43100000	476	7.16543
43200000	476	7.16328
43300000	477	7.16508
43400000	477	7.16471
43500000	477	7.16156
43600000	477	7.16149
43700000	477	7.16133
