N_rows:	3
N_cols:	3
T:	2.26919
Steps	States	EI
10000000	512	6.12216
20000000	512	6.11374
30000000	512	6.11176
40000000	512	6.11038
50000000	512	6.10943
60000000	512	6.10875
70000000	512	6.10858
80000000	512	6.10829
90000000	512	6.10817
100000000	512	6.10807
110000000	512	6.10768
120000000	512	6.10749
130000000	512	6.10741
140000000	512	6.10727
150000000	512	6.10727
160000000	512	6.10714
170000000	512	6.10713
180000000	512	6.10707
190000000	512	6.10711
200000000	512	6.1071
